channel,title,duration,url,playlist_url,error,downloaded,ext,match,path
France Culture,L’Europe a-t-elle trouvé ses frontières ? - Matières à penser au Forum France Culture,2669,https://www.youtube.com/watch?v=S7JPvoK6Ck8,https://www.youtube.com/playlist?list=PLKpTasoeXDrp2Gv6K9QkjI884Ly-QJsfi,0,0,m4a,FranceCultureLEuropeatelletrouvesesfrontieresMatirespenserauForumFranceCulture,S7JPvoK6Ck8.wav
France Culture,À qui profite l'Europe ? - Du Grain à moudre au Forum France Culture,2661,https://www.youtube.com/watch?v=lChf65ZBvz0,https://www.youtube.com/playlist?list=PLKpTasoeXDrp2Gv6K9QkjI884Ly-QJsfi,0,0,m4a,FranceCulturequiprofitelEuropeDuGrainmoudreauForumFranceCulture,lChf65ZBvz0.wav
France Culture,"Europe, rêve ou cauchemar démocratique ? - Les Chemins de la philosophie au Forum France Culture",3601,https://www.youtube.com/watch?v=LhYEjjB0hfo,https://www.youtube.com/playlist?list=PLKpTasoeXDrp2Gv6K9QkjI884Ly-QJsfi,0,0,m4a,FranceCultureEuropereveoucauchemardemocratiqueLesCheminsdelaphilosophieauForumFranceCulture,LhYEjjB0hfo.wav
France Culture,L'Europe est-elle un mythe ? - La Fabrique de l'Histoire au Forum France Culture,3458,https://www.youtube.com/watch?v=B6ZXGnDYwSc,https://www.youtube.com/playlist?list=PLKpTasoeXDrp2Gv6K9QkjI884Ly-QJsfi,0,0,m4a,FranceCultureLEuropeestelleunmytheLaFabriquedelHistoireauForumFranceCulture,B6ZXGnDYwSc.wav
France Culture,"L'Europe, tout un poème - Dialogue de clôture du Forum France Culture sur l'Europe",2459,https://www.youtube.com/watch?v=2rQ1CHpE-zQ,https://www.youtube.com/playlist?list=PLKpTasoeXDrp2Gv6K9QkjI884Ly-QJsfi,0,0,m4a,FranceCultureLEuropetoutunpoemeDialoguedecltureduForumFranceCulturesurlEurope,2rQ1CHpE-zQ.wav
France Culture,Pour une philosophie des réseaux sociaux - Les Chemins de la philosophie,3464,https://www.youtube.com/watch?v=-YCM2pC3rEA,https://www.youtube.com/playlist?list=PLKpTasoeXDrp2Gv6K9QkjI884Ly-QJsfi,0,0,webm,FranceCulturePourunephilosophiedesreseauxsociauxLesCheminsdelaphilosophie,-YCM2pC3rEA.wav
France Culture,"Alerter le pouvoir, entendre le citoyen - La Fabrique de l'Histoire",3454,https://www.youtube.com/watch?v=wNeNjuh7jmM,https://www.youtube.com/playlist?list=PLKpTasoeXDrp2Gv6K9QkjI884Ly-QJsfi,0,0,m4a,FranceCultureAlerterlepouvoirentendrelecitoyenLaFabriquedelHistoire,wNeNjuh7jmM.wav
France Culture,"Les algorithmes, amis ou ennemis de la démocratie ? - La Méthode scientifique",3896,https://www.youtube.com/watch?v=4aDCUq1wqmw,https://www.youtube.com/playlist?list=PLKpTasoeXDrp2Gv6K9QkjI884Ly-QJsfi,0,0,m4a,FranceCultureLesalgorithmesamisouennemisdeladmocratieLaMthodescientifique,4aDCUq1wqmw.wav
France Culture,Quel niveau d'inégalités peuvent supporter nos sociétés ? - Entendez-vous l'éco ?,3701,https://www.youtube.com/watch?v=KYk9PeYyjM0,https://www.youtube.com/playlist?list=PLKpTasoeXDrp2Gv6K9QkjI884Ly-QJsfi,0,0,m4a,FranceCultureQuelniveaudinegalitespeuventsupporternossocitsEntendezvouslco,KYk9PeYyjM0.wav
France Culture,La Masterclasse de Cécile Duflot au Forum France Culture Sorbonne,3677,https://www.youtube.com/watch?v=-Ty4DwZ8VwU,https://www.youtube.com/playlist?list=PLKpTasoeXDrp2Gv6K9QkjI884Ly-QJsfi,0,0,m4a,FranceCultureLaMasterclassedeCcileDuflotauForumFranceCultureSorbonne,-Ty4DwZ8VwU.wav
